"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"02/07/2023","AQS","410670005","1","0.3","ppm","3","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"02/08/2023","AQS","410670005","1","0.4","ppm","5","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"02/09/2023","AQS","410670005","1","0.5","ppm","6","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"02/10/2023","AQS","410670005","1","0.4","ppm","5","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"02/11/2023","AQS","410670005","1","0.4","ppm","5","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"02/12/2023","AQS","410670005","1","0.7","ppm","8","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"02/13/2023","AQS","410670005","1","0.3","ppm","3","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"02/14/2023","AQS","410670005","1","0.3","ppm","3","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"02/15/2023","AQS","410670005","1","0.5","ppm","6","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"02/16/2023","AQS","410670005","1","0.7","ppm","8","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"02/17/2023","AQS","410670005","1","0.4","ppm","5","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"02/18/2023","AQS","410670005","1","0.3","ppm","3","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"02/19/2023","AQS","410670005","1","0.3","ppm","3","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
"02/20/2023","AQS","410670005","1","0.3","ppm","3","Tualatin Bradbury Court (TBC) - Near Road Site","24","100.0000","42101","Carbon monoxide","593","38900","Portland-Vancouver-Hillsboro, OR-WA","41","Oregon","067","Washington","45.3992","-122.7455"
